HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
11h18m43s;;;1545.2;18.0;164;682;546;;;;84.25;99.1;3610738929000;6962;1.0;1.0;747.0;7.9;1.4;0.0;3610736131000;6651;1.0;1.0;760.4;7.9;1.4;0.0
11h18m44s;;;1545.9;18.0;163;682;553;;;;85.35;100.1;3611780428000;6962;1.0;1.0;745.0;7.9;1.4;0.0;3611777624000;6651;1.0;1.0;758.2;7.9;1.4;0.0
11h18m45s;;;1545.4;18.0;161;677;543;;;;84.25;101.2;3612821927000;6962;1.0;1.0;743.5;7.9;1.4;0.0;3612819118000;6710;1.0;1.0;756.3;7.9;1.4;0.0
11h18m45s;;;1545.5;18.1;164;677;543;;;;84.25;101.3;3612946913000;7036;1.0;1.0;743.4;7.9;1.4;0.0;3612985756000;6710;1.0;1.0;756.4;7.9;1.4;0.0
11h18m46s;;;1545.4;18.0;164;671;543;;;;83.70;102.4;3614030067000;7036;1.0;1.0;741.4;7.9;1.4;0.0;3614027249000;6710;1.0;1.0;754.5;7.9;1.4;0.0
11h18m47s;;;1545.8;18.0;160;669;548;;;;83.15;103.4;3615071565000;7036;1.0;1.0;739.6;7.9;1.4;0.0;3615068744000;6710;1.0;1.0;752.6;7.9;1.4;0.0
11h18m48s;;;1545.6;18.0;160;666;543;;;;83.70;104.5;3616113064000;7036;1.0;1.0;738.1;7.9;1.4;0.0;3616110237000;6710;1.0;1.0;751.1;7.9;1.4;0.0
11h18m49s;;;1545.5;18.0;164;666;540;;;;84.25;105.5;3617154565000;7036;1.0;1.0;736.6;7.9;1.4;0.0;3617151730000;6769;1.0;1.0;749.0;7.9;1.4;0.0
11h18m50s;;;1545.6;18.0;160;669;536;;;;84.80;106.6;3618237721000;7095;1.0;1.0;734.6;7.9;1.4;0.0;3618234879000;6769;1.0;1.0;747.2;7.9;1.4;0.0
11h18m51s;;;1545.8;18.0;159;672;540;;;;85.35;107.6;3619279221000;7095;1.0;1.0;732.5;7.9;1.4;0.0;3619276373000;6769;1.0;1.0;745.5;7.9;1.4;0.0
11h18m52s;;;1545.5;18.0;159;662;534;;;;84.80;108.7;3620320720000;7095;1.0;1.0;730.4;7.9;1.4;0.0;3620317867000;6769;1.0;1.0;743.5;7.9;1.4;0.0
11h18m53s;;;1545.8;18.0;158;662;531;;;;84.25;109.7;3621362219000;7155;1.0;1.0;728.4;7.9;1.4;0.0;3621359356000;6843;1.0;1.0;741.3;7.9;1.4;0.0
11h18m54s;;;1545.6;18.0;157;656;531;;;;84.25;110.8;3622403718000;7155;1.0;1.0;726.5;7.9;1.4;0.0;3622442509000;6843;1.0;1.0;739.1;7.9;1.4;0.0
11h18m54s;;;1545.5;18.1;164;656;531;;;;82.60;110.9;3622528699000;7155;1.0;1.0;726.7;7.9;1.4;0.0;3622567491000;6843;1.0;1.0;739.4;7.9;1.4;0.0
11h18m55s;;;1545.8;18.0;158;659;535;;;;83.15;111.9;3623611857000;7155;1.0;1.0;724.3;7.9;1.4;0.0;3623608981000;6843;1.0;1.0;737.1;7.9;1.4;0.0
11h18m56s;;;1546.0;18.0;162;655;530;;;;84.25;113.0;3624653355000;7155;1.0;1.0;722.0;7.9;1.4;0.0;3624650473000;6843;1.0;1.0;734.8;7.9;1.4;0.0
11h18m57s;;;1545.7;18.0;156;653;528;;;;83.70;114.0;3625694856000;7229;1.0;1.0;719.6;7.9;1.4;0.0;3625691967000;6903;1.0;1.0;732.3;7.9;1.4;0.0
11h18m59s;;;1546.0;18.0;161;659;523;;;;84.80;115.1;3626736356000;7229;1.0;1.0;716.7;7.9;1.4;0.0;3626733463000;6903;1.0;1.0;729.3;7.9;1.4;0.0
11h19m00s;;;1545.9;18.0;155;652;523;;;;84.25;116.1;3627777853000;7288;1.0;1.0;714.2;7.9;1.4;0.0;3627816610000;6903;1.0;1.0;726.4;7.9;1.4;0.0
11h19m01s;;;1545.8;18.0;161;646;519;;;;84.25;117.2;3628861013000;7288;1.0;1.0;711.2;7.9;1.4;0.0;3628858104000;6962;1.0;1.0;723.5;7.9;1.4;0.0
11h19m02s;;;1545.5;18.0;156;641;517;;;;84.25;118.2;3629902511000;7288;1.0;1.0;707.6;7.9;1.4;0.0;3629899598000;6962;1.0;1.0;720.3;7.9;1.4;0.0
11h19m03s;;;1546.2;18.0;155;637;521;;;;84.25;119.3;3630944009000;7347;1.0;1.0;704.2;7.9;1.4;0.0;3630941090000;7021;1.0;1.0;716.9;7.9;1.4;0.0
11h19m04s;;;1545.7;18.1;155;638;513;;;;84.80;120.3;3631985510000;7421;1.0;1.0;700.9;7.9;1.4;0.0;3631982582000;7095;1.0;1.0;713.4;7.9;1.4;0.0
11h19m04s;;;1545.7;18.1;156;638;513;;;;83.70;120.5;3632152150000;7421;1.0;1.0;700.7;7.9;1.4;0.0;3632149222000;7095;1.0;1.0;713.0;7.9;1.4;0.0
11h19m05s;;;1545.4;18.0;154;633;513;;;;83.15;121.5;3633193648000;7421;1.0;1.0;697.4;7.9;1.4;0.0;3633190717000;7095;1.0;1.0;709.9;7.9;1.4;0.0
11h19m06s;;;1545.7;18.0;156;627;509;;;;84.25;122.6;3634235146000;7495;1.0;1.0;694.1;7.9;1.4;0.0;3634232207000;7095;1.0;1.0;706.4;7.9;1.4;0.0
11h19m07s;;;1545.6;18.0;150;634;504;;;;83.70;123.6;3635276648000;7495;1.0;1.0;690.4;7.9;1.4;0.0;3635273702000;7155;1.0;1.0;702.8;7.9;1.4;0.0
11h19m08s;;;1545.9;18.0;153;623;502;;;;85.35;124.7;3636318144000;7555;1.0;1.0;686.9;7.9;1.4;0.0;3636315194000;7229;1.0;1.0;698.9;7.9;1.4;0.0
11h19m09s;;;1545.7;18.0;148;620;508;;;;84.80;125.7;3637401303000;7555;1.0;1.0;683.7;7.9;1.4;0.0;3637398343000;7229;1.0;1.0;695.3;7.9;1.4;0.0
11h19m10s;;;1545.9;18.0;148;619;497;;;;84.80;126.8;3638442804000;7629;1.0;1.0;680.3;7.9;1.4;0.0;3638439841000;7288;1.0;1.0;692.3;7.9;1.4;0.0
11h19m11s;;;1545.8;18.0;148;621;498;;;;84.80;127.8;3639484301000;7629;1.0;1.0;676.7;7.9;1.4;0.0;3639481331000;7288;1.0;1.0;688.7;7.9;1.4;0.0
11h19m12s;;;1545.7;18.1;149;612;494;;;;83.70;128.9;3640525802000;7703;1.0;1.0;673.4;7.9;1.4;0.0;3640522824000;7347;1.0;1.0;685.4;7.9;1.4;0.0
11h19m13s;;;1545.8;18.0;148;610;489;;;;84.80;129.9;3641567300000;7703;1.0;1.0;670.1;7.9;1.4;0.0;3641564315000;7347;1.0;1.0;681.9;7.9;1.4;0.0
11h19m14s;;;1546.0;18.1;149;610;489;;;;83.70;130.0;3641733940000;7703;1.0;1.0;669.8;7.9;1.4;0.0;3641730954000;7347;1.0;1.0;681.7;7.9;1.4;0.0
11h19m15s;;;1545.8;18.0;150;616;486;;;;85.35;131.1;3642775440000;7762;1.0;1.0;666.7;7.9;1.4;0.0;3642772445000;7421;1.0;1.0;678.5;7.9;1.4;0.0
